Household Income,Population,Median Age,Per Capita Income,Poverty Count,county_id,census_year,county
43824.0,67030.0,40.4,24308.0,7954.0,001,2010,Adams
28833.0,8449.0,41.8,15858.0,1600.0,003,2010,Alexander
51946.0,17904.0,39.3,24341.0,1870.0,005,2010,Bond
61210.0,53567.0,35.8,26105.0,5508.0,007,2010,Boone
38696.0,6897.0,37.6,17133.0,555.0,009,2010,Brown
45692.0,35083.0,41.9,24103.0,3854.0,011,2010,Bureau
44891.0,5118.0,43.5,23109.0,586.0,013,2010,Calhoun
44805.0,15615.0,45.7,25914.0,1786.0,015,2010,Carroll
41544.0,13648.0,38.7,19825.0,1686.0,017,2010,Cass
45262.0,197867.0,28.6,24553.0,37125.0,019,2010,Champaign
41712.0,34936.0,41.3,21519.0,5453.0,021,2010,Christian
43597.0,16545.0,41.6,23173.0,1740.0,023,2010,Clark
38016.0,13927.0,41.6,20802.0,2247.0,025,2010,Clay
55278.0,37395.0,39.2,25392.0,2715.0,027,2010,Clinton
36457.0,53568.0,31.4,20601.0,9270.0,029,2010,Coles
53942.0,5172848.0,35.1,29335.0,778340.0,031,2010,Cook
41434.0,19864.0,42.2,21545.0,3261.0,033,2010,Crawford
42101.0,11073.0,40.3,21262.0,1371.0,035,2010,Cumberland
54002.0,104026.0,29.0,24179.0,14003.0,037,2010,DeKalb
45347.0,16672.0,41.4,24320.0,1417.0,039,2010,De
46941.0,20012.0,37.6,21438.0,1997.0,041,2010,Douglas
76581.0,911481.0,37.4,37849.0,50996.0,043,2010,DuPage
39904.0,18776.0,42.9,22175.0,2465.0,045,2010,Edgar
40430.0,6707.0,42.5,21113.0,811.0,047,2010,Edwards
49509.0,34232.0,38.7,24843.0,3552.0,049,2010,Effingham
41269.0,22007.0,40.0,21663.0,3520.0,051,2010,Fayette
48667.0,14113.0,41.5,23401.0,1104.0,053,2010,Ford
34381.0,39528.0,41.4,18504.0,7692.0,055,2010,Franklin
41268.0,37205.0,42.3,20309.0,4693.0,057,2010,Fulton
38003.0,5773.0,43.2,21537.0,1008.0,059,2010,Gallatin
41450.0,13983.0,41.4,22107.0,2073.0,061,2010,Greene
64297.0,48744.0,36.2,27895.0,3357.0,063,2010,Grundy
35032.0,8453.0,42.3,21602.0,1222.0,065,2010,Hamilton
42857.0,19227.0,44.0,22885.0,2392.0,067,2010,Hancock
27578.0,4402.0,43.3,18515.0,943.0,069,2010,Hardin
43450.0,7462.0,46.2,22492.0,838.0,071,2010,Henderson
49164.0,50477.0,41.6,24915.0,5133.0,073,2010,Henry
47323.0,30068.0,42.7,23400.0,2854.0,075,2010,Iroquois
32169.0,59864.0,28.4,19294.0,15482.0,077,2010,Jackson
46546.0,9752.0,42.6,21467.0,816.0,079,2010,Jasper
41161.0,39202.0,40.3,21370.0,6264.0,081,2010,Jefferson
53470.0,22932.0,39.3,24368.0,1864.0,083,2010,Jersey
50279.0,22728.0,46.6,26819.0,1881.0,085,2010,Jo
41619.0,12710.0,40.3,16402.0,1339.0,087,2010,Johnson
67767.0,502628.0,34.2,29480.0,45352.0,089,2010,Kane
50484.0,112100.0,36.5,22888.0,16244.0,091,2010,Kankakee
