BallotGroup,OfficeName,NumberRunning
B,GOVERNOR AND LIEUTENANT GOVERNOR,761
B,COMPTROLLER,403
B,SECRETARY OF STATE,334
B,ATTORNEY GENERAL,306
B,TREASURER,306
RC,2ND CIRCUIT - RETAIN VAUGHAN,24
RC,2ND CIRCUIT - RETAIN OVERSTREET,24
RC,2ND CIRCUIT - RETAIN FOSTER,24
RC,2ND CIRCUIT - RETAIN TEDESCHI,24
RC,1ST CIRCUIT - RETAIN WILLIAMSON,18
RC,1ST CIRCUIT - RETAIN PALMER,18
RC,1ST CIRCUIT - RETAIN THURSTON,18
RC,1ST CIRCUIT - RETAIN LEBERMAN,18
RC,1ST CIRCUIT - RETAIN MOORE,18
RC,1ST CIRCUIT - RETAIN JACKSON,18
RC,1ST CIRCUIT - RETAIN MORRIS,18
RC,8TH CIRCUIT - RETAIN WALDEN,16
RC,"8TH CIRCUIT - RETAIN HARDWICK, JR.",16
RC,8TH CIRCUIT - RETAIN LAGOSKI,16
RC,6TH CIRCUIT - RETAIN DIFANIS,12
RC,6TH CIRCUIT - RETAIN CLEM,12
RC,6TH CIRCUIT - RETAIN BLOCKMAN,12
RC,6TH CIRCUIT - RETAIN WEBBER,12
RC,7TH CIRCUIT - RETAIN DAY,12
RC,9TH CIRCUIT - RETAIN STEWART,12
RC,"9TH CIRCUIT - RETAIN VANCIL, JR.",12
RC,9TH CIRCUIT - RETAIN MANGIERI,12
RC,5TH CIRCUIT - RETAIN RESCH,10
RC,5TH CIRCUIT - RETAIN SHICK,10
RC,5TH CIRCUIT - RETAIN GARST,10
RC,10TH CIRCUIT - RETAIN KOURI,10
RC,11TH CIRCUIT - RETAIN REYNARD,10
RC,11TH CIRCUIT - RETAIN BAUKNECHT,10
RC,11TH CIRCUIT - RETAIN FREITAG,10
RC,"11TH CIRCUIT - RETAIN HARRIS, JR.",10
RC,15TH CIRCUIT - RETAIN KELLY,10
RC,15TH CIRCUIT - RETAIN GUNNARSSON,10
RC,15TH CIRCUIT - RETAIN JACOBSON,10
RC,15TH CIRCUIT - RETAIN FISH,10
RC,20TH CIRCUIT - RETAIN CAMPANELLA,10
RC,20TH CIRCUIT - RETAIN DOYLE,10
RC,14TH CIRCUIT - RETAIN BRAUD,8
RC,13TH CIRCUIT - RETAIN DAUGHERITY,6
RC,13TH CIRCUIT - RETAIN MARSAGLIA,6
RC,13TH CIRCUIT - RETAIN HETTEL,6
RC,3RD CIRCUIT - RETAIN RUTH,4
RC,3RD CIRCUIT - RETAIN TOGNARELLI,4
RC,17TH CIRCUIT - RETAIN McGRAW,4
RC,17TH CIRCUIT - RETAIN COLLINS,4
RC,17TH CIRCUIT - RETAIN DOHERTY,4
RC,17TH CIRCUIT - RETAIN FABIANO,4
RC,17TH CIRCUIT - RETAIN GULLEY,4
RC,17TH CIRCUIT - RETAIN WHITE,4
RC,21ST CIRCUIT - RETAIN ERICKSON,4
RC,21ST CIRCUIT - RETAIN LUSTFELDT,4
RC,21ST CIRCUIT - RETAIN KICK,4
RC,21ST CIRCUIT - RETAIN TUNGATE,4
RC,21ST CIRCUIT - RETAIN ALBRECHT,4
RC,COOK CIRCUIT - RETAIN FLANAGAN,2
RC,COOK CIRCUIT - RETAIN TOOMIN,2
RC,COOK CIRCUIT - RETAIN KARNEZIS,2
RC,COOK CIRCUIT - RETAIN FLANNERY,2
RC,COOK CIRCUIT - RETAIN PATTI,2
RC,COOK CIRCUIT - RETAIN COGHLAN,2
RC,COOK CIRCUIT - RETAIN McGURY,2
RC,COOK CIRCUIT - RETAIN SUTKER-DERMER,2
RC,COOK CIRCUIT - RETAIN EGAN,2
RC,COOK CIRCUIT - RETAIN BERMAN,2
RC,COOK CIRCUIT - RETAIN CANNON,2
RC,COOK CIRCUIT - RETAIN CLAY,2
RC,COOK CIRCUIT - RETAIN CRANE,2
RC,COOK CIRCUIT - RETAIN FABRI,2
RC,COOK CIRCUIT - RETAIN FLEMING,2
RC,COOK CIRCUIT - RETAIN GARCIA,2
RC,12TH CIRCUIT - RETAIN BERTANI-TOMCZAK,2
RC,12TH CIRCUIT - RETAIN O'LEARY,2
RC,12TH CIRCUIT - RETAIN POLICANDRIOTES,2
RC,12TH CIRCUIT - RETAIN SCHOENSTEDT,2
RC,12TH CIRCUIT - RETAIN JONES,2
RC,12TH CIRCUIT - RETAIN ALLEN,2
RC,12TH CIRCUIT - RETAIN GOMORA,2
RC,16TH CIRCUIT - RETAIN GRADY,2
RC,16TH CIRCUIT - RETAIN BRAWKA,2
RC,16TH CIRCUIT - RETAIN MURPHY,2
RC,16TH CIRCUIT - RETAIN NOVERINI,2
RC,18TH CIRCUIT - RETAIN ANDERSON,2
RC,18TH CIRCUIT - RETAIN BAKALIS,2
RC,18TH CIRCUIT - RETAIN ELSNER,2
RC,18TH CIRCUIT - RETAIN CRESWELL,2
RC,18TH CIRCUIT - RETAIN FAWELL,2
RC,18TH CIRCUIT - RETAIN KINSELLA,2
RC,19TH CIRCUIT - RETAIN STARCK,2
RC,19TH CIRCUIT - RETAIN BOORAS,2
RC,19TH CIRCUIT - RETAIN CECKOWSKI,2
RC,19TH CIRCUIT - RETAIN UKENA,2
RC,COOK CIRCUIT - RETAIN GAVIN,2
RC,COOK CIRCUIT - RETAIN JONES,2
RC,"COOK CIRCUIT - RETAIN KENNEDY, KATHLEEN",2
RC,COOK CIRCUIT - RETAIN LACY,2
RC,COOK CIRCUIT - RETAIN LAWS,2
RC,COOK CIRCUIT - RETAIN MARTIN,2
RC,COOK CIRCUIT - RETAIN MATHEIN,2
RC,COOK CIRCUIT - RETAIN PONCE de LEON,2
RC,COOK CIRCUIT - RETAIN RHODES,2
