CandidateID,CanFirstName,CanLastName,PartyName,OfficeName
19748,PAUL M.,SCHIMPF,REPUBLICAN,ATTORNEY GENERAL
19749,LISA,MADIGAN,DEMOCRATIC,ATTORNEY GENERAL
19751,JUDY BAAR,TOPINKA,REPUBLICAN,COMPTROLLER
19752,SHEILA,SIMON,DEMOCRATIC,COMPTROLLER
19762,BRUCE,RAUNER,REPUBLICAN,GOVERNOR AND LIEUTENANT GOVERNOR
19763,PAT,QUINN,DEMOCRATIC,GOVERNOR AND LIEUTENANT GOVERNOR
19766,MICHAEL,WEBSTER,REPUBLICAN,SECRETARY OF STATE
19767,JESSE,WHITE,DEMOCRATIC,SECRETARY OF STATE
19768,TOM,CROSS,REPUBLICAN,TREASURER
19769,MICHAEL W.,FRERICHS,DEMOCRATIC,TREASURER
20173,CHAD,GRIMM,LIBERTARIAN,GOVERNOR AND LIEUTENANT GOVERNOR
20175,BEN,KOYL,LIBERTARIAN,ATTORNEY GENERAL
20176,JULIE,FOX,LIBERTARIAN,COMPTROLLER
20177,CHRISTOPHER,MICHEL,LIBERTARIAN,SECRETARY OF STATE
20178,MATTHEW,SKOPEK,LIBERTARIAN,TREASURER
20222,MARK,SMITH,,GOVERNOR AND LIEUTENANT GOVERNOR
20223,"ROBERT ""CHICO""",PEREZ JR.,,GOVERNOR AND LIEUTENANT GOVERNOR
20224,MICHAEL W.,SCRUGGS,,GOVERNOR AND LIEUTENANT GOVERNOR
20225,RYAN,SWEENEY,,GOVERNOR AND LIEUTENANT GOVERNOR
20226,SCOTT,SUMMERS,,GOVERNOR AND LIEUTENANT GOVERNOR
20227,AARON,MERREIGHN,,GOVERNOR AND LIEUTENANT GOVERNOR
20228,SHELDON,SCHAFER,,SECRETARY OF STATE
20229,TIMOTHY,GOODCASE,,COMPTROLLER
20235,GREGG,MOORE,,GOVERNOR AND LIEUTENANT GOVERNOR
20237,MICHAEL,RENTFRO,,GOVERNOR AND LIEUTENANT GOVERNOR
20239,AUTHOR C.,BRUMFIELD,,SECRETARY OF STATE
19860,"JAMES R. ""JIM""",WILLIAMSON - YES,,1ST CIRCUIT - RETAIN WILLIAMSON
19861,"JAMES R. ""JIM""",WILLIAMSON - NO,,1ST CIRCUIT - RETAIN WILLIAMSON
19862,PHILLIP G.,PALMER - YES,,1ST CIRCUIT - RETAIN PALMER
19863,PHILLIP G.,PALMER - NO,,1ST CIRCUIT - RETAIN PALMER
19864,"WILLIAM J. ""BILL""",THURSTON - YES,,1ST CIRCUIT - RETAIN THURSTON
19865,"WILLIAM J. ""BILL""",THURSTON - NO,,1ST CIRCUIT - RETAIN THURSTON
19866,JOSEPH M.,LEBERMAN - YES,,1ST CIRCUIT - RETAIN LEBERMAN
19867,JOSEPH M.,LEBERMAN - NO,,1ST CIRCUIT - RETAIN LEBERMAN
19868,"JAMES R. ""RANDY""",MOORE - YES,,1ST CIRCUIT - RETAIN MOORE
19869,"JAMES R. ""RANDY""",MOORE - NO,,1ST CIRCUIT - RETAIN MOORE
19870,JOE,JACKSON - YES,,1ST CIRCUIT - RETAIN JACKSON
19871,JOE,JACKSON - NO,,1ST CIRCUIT - RETAIN JACKSON
19872,WALDEN E.,MORRIS - YES,,1ST CIRCUIT - RETAIN MORRIS
19873,WALDEN E.,MORRIS - NO,,1ST CIRCUIT - RETAIN MORRIS
19874,BARRY L.,VAUGHAN - YES,,2ND CIRCUIT - RETAIN VAUGHAN
19875,BARRY L.,VAUGHAN - NO,,2ND CIRCUIT - RETAIN VAUGHAN
19876,DAVID K.,OVERSTREET - YES,,2ND CIRCUIT - RETAIN OVERSTREET
19877,DAVID K.,OVERSTREET - NO,,2ND CIRCUIT - RETAIN OVERSTREET
19878,TOM,FOSTER - YES,,2ND CIRCUIT - RETAIN FOSTER
19879,TOM,FOSTER - NO,,2ND CIRCUIT - RETAIN FOSTER
19880,TOM,TEDESCHI - YES,,2ND CIRCUIT - RETAIN TEDESCHI
19881,TOM,TEDESCHI - NO,,2ND CIRCUIT - RETAIN TEDESCHI
19882,DENNIS R.,RUTH - YES,,3RD CIRCUIT - RETAIN RUTH
19883,DENNIS R.,RUTH - NO,,3RD CIRCUIT - RETAIN RUTH
19884,RICHARD L.,TOGNARELLI - YES,,3RD CIRCUIT - RETAIN TOGNARELLI
19885,RICHARD L.,TOGNARELLI - NO,,3RD CIRCUIT - RETAIN TOGNARELLI
19886,TRACY W.,RESCH - YES,,5TH CIRCUIT - RETAIN RESCH
19887,TRACY W.,RESCH - NO,,5TH CIRCUIT - RETAIN RESCH
19888,MITCHELL K.,SHICK - YES,,5TH CIRCUIT - RETAIN SHICK
19889,MITCHELL K.,SHICK - NO,,5TH CIRCUIT - RETAIN SHICK
19890,STEVEN L.,GARST - YES,,5TH CIRCUIT - RETAIN GARST
19891,STEVEN L.,GARST - NO,,5TH CIRCUIT - RETAIN GARST
19892,THOMAS J.,DIFANIS - YES,,6TH CIRCUIT - RETAIN DIFANIS
19893,THOMAS J.,DIFANIS - NO,,6TH CIRCUIT - RETAIN DIFANIS
19894,HARRY E.,CLEM - YES,,6TH CIRCUIT - RETAIN CLEM
19895,HARRY E.,CLEM - NO,,6TH CIRCUIT - RETAIN CLEM
19896,ARNOLD F.,BLOCKMAN - YES,,6TH CIRCUIT - RETAIN BLOCKMAN
19897,ARNOLD F.,BLOCKMAN - NO,,6TH CIRCUIT - RETAIN BLOCKMAN
19898,A.G.,WEBBER - YES,,6TH CIRCUIT - RETAIN WEBBER
19899,A.G.,WEBBER - NO,,6TH CIRCUIT - RETAIN WEBBER
19900,JAMES W.,DAY - YES,,7TH CIRCUIT - RETAIN DAY
19901,JAMES W.,DAY - NO,,7TH CIRCUIT - RETAIN DAY
19902,THOMAS E.,FLANAGAN - YES,,COOK CIRCUIT - RETAIN FLANAGAN
19903,THOMAS E.,FLANAGAN - NO,,COOK CIRCUIT - RETAIN FLANAGAN
19904,MICHAEL P.,TOOMIN - YES,,COOK CIRCUIT - RETAIN TOOMIN
19905,MICHAEL P.,TOOMIN - NO,,COOK CIRCUIT - RETAIN TOOMIN
19906,THEMIS N.,KARNEZIS - YES,,COOK CIRCUIT - RETAIN KARNEZIS
19907,THEMIS N.,KARNEZIS - NO,,COOK CIRCUIT - RETAIN KARNEZIS
19908,JAMES PATRICK,FLANNERY - YES,,COOK CIRCUIT - RETAIN FLANNERY
19909,JAMES PATRICK,FLANNERY - NO,,COOK CIRCUIT - RETAIN FLANNERY
19910,SEBASTIAN THOMAS,PATTI - YES,,COOK CIRCUIT - RETAIN PATTI
