CandidateID,County,Votes
19443,MACON,16658
19443,CHAMPAIGN,15501
19443,SHELBY,7116
19443,PIATT,6443
19443,DOUGLAS,5623
19443,EDGAR,5015
19443,DeWITT,4834
19443,MOULTRIE,4123
19443,McLEAN,3573
19443,VERMILION,779
19444,MORGAN,9805
19445,MENARD,4202
19446,FULTON,9352
19447,WILL,25413
19448,WILL,17917
19449,WILL,13457
19450,WILL,16841
19451,OGLE,14451
19452,DuPAGE,216603
19453,LAKE,15633
19454,COOK,878961
19455,COOK,864071
19456,COOK,864357
19457,COOK,866594
19458,COOK,854727
19459,COOK,837823
19460,COOK,60073
19461,WAYNE,5248
19462,MONROE,10557
19462,RANDOLPH,8463
19462,ST. CLAIR,272
19462,PERRY,45
19463,VERMILION,12148
19464,VERMILION,9565
19465,DOUGLAS,5402
19466,SANGAMON,58746
19466,MACOUPIN,12255
19466,MORGAN,9371
19466,JERSEY,5998
19466,GREENE,3352
19466,SCOTT,1744
19467,MACON,27960
19468,MONTGOMERY,6848
19469,COOK,55968
19470,COOK,49595
19471,WABASH,2071
19472,WABASH,1848
19473,FORD,4025
19474,WILL,25195
19475,WILL,18240
19476,HENRY,11032
19477,HENRY,6391
19478,COOK,862780
19479,KNOX,8247
19479,WARREN,3939
19479,MERCER,2578
19479,HENDERSON,1620
19479,FULTON,175
19479,PEORIA,14
19479,ROCK ISLAND,13
19479,HENRY,9
19479,McDONOUGH,0
19479,STARK,0
19480,KNOX,6960
19480,WARREN,1439
19480,MERCER,1217
19480,HENDERSON,661
19480,FULTON,123
19480,PEORIA,16
19480,ROCK ISLAND,11
19480,HENRY,2
19480,McDONOUGH,0
19480,STARK,0
19481,WHITESIDE,15050
19481,OGLE,14189
19481,LEE,9061
19481,STEPHENSON,295
19481,WINNEBAGO,191
19481,ROCK ISLAND,102
19481,BUREAU,35
19481,HENRY,30
19481,DeKALB,9
19482,SANGAMON,58506
19482,MENARD,4092
19482,CHRISTIAN,89
19482,CASS,24
19482,LOGAN,17
19482,MONTGOMERY,17
19482,MORGAN,16
19483,MONROE,10712
19483,RANDOLPH,8697
19483,ST. CLAIR,277
19483,PERRY,45
19484,MORGAN,8853
19484,PIKE,4020
19484,JERSEY,3881
19484,GREENE,2278
19484,SCOTT,1627
19484,MACOUPIN,1443
19484,MADISON,1262
19484,CALHOUN,987
19484,SANGAMON,130
19485,JERSEY,3553
19485,MORGAN,2377
19485,GREENE,2107
19485,PIKE,1744
19485,CALHOUN,971
19485,MADISON,724
19485,MACOUPIN,650
19485,SCOTT,568
19485,SANGAMON,31
19486,MACON,15843
19486,PIATT,6190
19486,CHAMPAIGN,5725
19486,DeWITT,4829
19486,McLEAN,3527
19487,CHAMPAIGN,7892
19487,SHELBY,5451
19487,DOUGLAS,4747
19487,EDGAR,4018
19487,MOULTRIE,3599
19487,MACON,774
19487,VERMILION,622
19488,CHAMPAIGN,2825
19488,SHELBY,2542
19488,EDGAR,1478
19488,DOUGLAS,1137
19488,MOULTRIE,938
19488,VERMILION,210
19488,MACON,164
19489,CHAMPAIGN,8392
19490,CHAMPAIGN,13362
19491,VERMILION,14613
19491,CHAMPAIGN,11456
19492,McLEAN,26625
19492,LIVINGSTON,1748
19494,LIVINGSTON,1909
19494,IROQUOIS,1804
19494,WOODFORD,1222
19494,VERMILION,924
19494,FORD,657
19495,MARION,7694
19495,EFFINGHAM,6875
19495,FAYETTE,4664
19495,BOND,3214
19495,CLINTON,861
19496,MARION,4244
19496,EFFINGHAM,2119
19496,FAYETTE,1770
19496,BOND,1621
19496,CLINTON,258
19497,MADISON,12557
19497,CLINTON,10738
19497,ST. CLAIR,5563
19497,WASHINGTON,3978
19498,WAYNE,5271
19498,WHITE,5228
19498,RICHLAND,4458
19498,JASPER,3721
19498,CLAY,3527
19498,WABASH,3456
19498,EFFINGHAM,2704
19498,LAWRENCE,2102
19498,EDWARDS,2085
19499,EFFINGHAM,8618
19499,CLINTON,6310
19499,CHRISTIAN,5585
19499,MARION,4772
19499,SHELBY,4606
19499,MONTGOMERY,4256
19499,FAYETTE,3819
19499,JASPER,2382
19499,CLAY,2360
19500,MARION,6984
19500,CLINTON,5969
19500,CHRISTIAN,5457
19500,MONTGOMERY,4043
19500,EFFINGHAM,3464
19500,SHELBY,3171
19500,FAYETTE,2544
19500,JASPER,1579
19500,CLAY,1436
19501,ADAMS,19957
19501,MORGAN,9486
19501,PIKE,4580
19501,CASS,3053
19501,SCOTT,1772
19501,BROWN,1234
19501,SANGAMON,101
19501,CALHOUN,68
19501,HANCOCK,7
19501,MACOUPIN,4
19501,GREENE,2
19501,MENARD,0
19502,LAKE,74436
19502,COOK,21556
19503,LAKE,69821
19503,COOK,21315
19504,COOK,3638
19505,COOK,21102
19506,EFFINGHAM,8758
19506,CHRISTIAN,8092
19506,MONTGOMERY,6272
19506,FAYETTE,4607
19506,BOND,3447
19506,SHELBY,709
19506,CUMBERLAND,180
19506,MACOUPIN,36
19506,JASPER,25
19506,CLAY,6
19506,SANGAMON,0
19507,COLES,11634
19507,CRAWFORD,5488
19507,CLARK,4369
19507,CUMBERLAND,3384
19507,LAWRENCE,1346
19507,EDGAR,472
19508,MADISON,22402
19508,JERSEY,453
19509,MADISON,16019
19509,ST. CLAIR,2965
19510,MADISON,11240
19510,ST. CLAIR,2093
19511,ST. CLAIR,11327
19511,MADISON,614
19512,ST. CLAIR,15211
19512,MADISON,2361
19513,ST. CLAIR,21435
19514,JEFFERSON,8253
19514,JACKSON,7434
19514,PERRY,2353
19514,UNION,2344
19514,WASHINGTON,935
19515,JACKSON,6205
19515,JEFFERSON,4023
19515,UNION,1568
19515,PERRY,1433
19515,WASHINGTON,420
19516,MONROE,9870
19516,RANDOLPH,9041
19516,ST. CLAIR,6228
19516,PERRY,2771
19517,WILLIAMSON,14770
19517,FRANKLIN,10139
19517,HAMILTON,749
19518,SALINE,6114
19518,JOHNSON,3511
19518,MASSAC,3309
19518,PULASKI,2199
19518,ALEXANDER,1884
19518,UNION,1701
19518,JACKSON,1627
19518,HAMILTON,1535
19518,GALLATIN,1471
19518,POPE,1191
19518,HARDIN,1119
19519,WILL,34867
19519,DuPAGE,33492
19519,KANE,7618
19519,KENDALL,4260
19519,COOK,1098
19520,WILL,45130
19520,DuPAGE,30552
19520,KANE,12517
19520,KENDALL,4666
19520,COOK,571
19521,COOK,22562
19522,WINNEBAGO,61748
19522,BOONE,12634
19522,STEPHENSON,138
19522,McHENRY,2
19522,DeKALB,0
19523,CHAMPAIGN,39993
19523,FORD,3389
19523,IROQUOIS,807
19523,VERMILION,156
19523,McLEAN,19
19523,DOUGLAS,15
